Country,Query,Status,Match
Papua New Guinea,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Papua New Guinea,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Paraguay,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Paraguay,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Peru,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Peru,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Philippines,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Philippines,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Poland,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Poland,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Portugal,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Portugal,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Qatar,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Qatar,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Republic of Korea (South Korea; ROK),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Republic of Korea (South Korea; ROK),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Republic of Moldova,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Republic of Moldova,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Romania,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Romania,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Russian Federation,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Russian Federation,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No - Wrong Info
Rwanda,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Rwanda,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Saint Kitts and Nevis (St Kitts and Nevis),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Saint Kitts and Nevis (St Kitts and Nevis),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No- Misses Information
Saint Lucia (St Lucia),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Saint Lucia (St Lucia),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Saint Vincent and the Grenadines (St Vincent and the Grenadines),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Saint Vincent and the Grenadines (St Vincent and the Grenadines),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Samoa,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No - Wrong Info
Samoa,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
San Marino,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
San Marino,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No - Wrong Info
São Tomé and Príncipe,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
São Tomé and Príncipe,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Saudi Arabia,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,No- Misses Information
Saudi Arabia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Senegal,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Senegal,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Serbia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Serbia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Seychelles,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Seychelles,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No - Provides More Info
Sierra Leone,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Sierra Leone,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No- Misses Information
Singapore,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Singapore,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Slovakia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Slovakia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Solomon Islands,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Solomon Islands,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Somalia,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,No - Wrong Info
Somalia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
South Africa,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
South Africa,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
South Sudan,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
South Sudan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Spain,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Spain,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Sri Lanka,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Sri Lanka,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No - Wrong Info
Sudan,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,No- Misses Information
Sudan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Suriname,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Suriname,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Sweden,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Sweden,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Switzerland,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Switzerland,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest excluding,No - Wrong Info
Syrian Arab Republic (Syria),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Syrian Arab Republic (Syria),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Tajikistan,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Tajikistan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Thailand,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Thailand,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Timor-Leste,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Timor-Leste,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Togo,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Togo,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No- Misses Information
Tonga,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No - Wrong Info
Tonga,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Trinidad and Tobago,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Trinidad and Tobago,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Tunisia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Tunisia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest excluding,No - Wrong Info
Türkiye (Turkey),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Türkiye (Turkey),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest excluding,No - Wrong Info
Turkmenistan,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Turkmenistan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Tuvalu,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Tuvalu,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Uganda,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Uganda,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Ukraine,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Ukraine,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
United Arab Emirates (UAE),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
United Arab Emirates (UAE),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No - Wrong Info
United Kingdom of Great Britain and Northern Ireland (UK),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
United Kingdom of Great Britain and Northern Ireland (UK),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
United Republic of Tanzania,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
United Republic of Tanzania,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No- Misses Information
United States of America (USA),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No - Wrong Info
United States of America (USA),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Uruguay,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Uruguay,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Uzbekistan,1. Is there a law that requires routine childhood vaccination in ? ,New document identified - suggest excluding,No - Wrong Info
Uzbekistan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Vanuatu,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Vanuatu,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Venezuela (Bolivarian Republic of),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Venezuela (Bolivarian Republic of),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No- Misses Information
Viet Nam (Vietnam),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Viet Nam (Vietnam),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Yemen,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Yemen,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No- Misses Information
Zambia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Zambia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No- Misses Information
Zimbabwe,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Zimbabwe,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
